# image_points (pixels)
368.2925 298.4395
336.3454 302.2088
303.4975 305.8331
270.1973 309.7189
234.7378 313.9188
198.4286 318.3845
160.3391 322.9080
120.4631 327.9880
78.7851 333.0866
365.8947 265.2077
334.2030 268.3899
300.8769 271.5952
267.3394 275.1056
232.0270 278.5958
195.4650 282.3160
157.1364 286.1636
116.7739 290.3369
74.8750 294.6284
363.5410 231.8639
331.8505 234.3971
298.5172 236.9504
264.5116 239.8615
229.3698 243.1406
192.3933 245.9556
153.7780 249.1672
113.2597 252.3594
70.8808 255.8356
361.3347 198.2728
329.4060 199.8886
295.9225 202.5319
261.7491 204.4121
226.2643 206.5296
189.1949 208.8671
150.3407 211.5661
109.4108 213.8813
66.6363 216.4443
359.2919 164.1664
327.1337 165.4243
293.5345 167.0606
259.1513 168.4690
223.3881 170.2338
185.9495 171.4767
146.6006 173.2823
105.3668 174.4829
62.4935 176.5367
356.5425 130.1719
324.4117 130.6062
291.1824 131.5630
256.3541 132.4263
220.1135 133.3495
182.3242 133.6837
142.7153 134.5038
101.2570 135.3742
58.3613 136.4383
